date,n_sick,calls,temp,drivers_predicted,month,year,n_sick_monthly,calls_monthly
2018-09-15,97,7746.0,15.6,1549.5860224154983,9,2018,,
2018-09-16,93,9120.0,16.1,1824.3846470759865,9,2018,,
2018-09-17,90,7680.0,18.7,1536.3860884798416,9,2018,,
2018-09-18,89,8892.0,21.8,1778.7848752982636,9,2018,,
2018-09-19,107,8040.0,22.3,1608.3857281288779,9,2018,,
2018-09-20,116,8784.0,21.8,1757.184983403553,9,2018,,
2018-09-21,116,9108.0,19.3,1821.9846590876853,9,2018,,
2018-09-22,102,9438.0,13.3,1887.9843287659687,9,2018,,
2018-09-23,104,6420.0,10.3,1284.387349708215,9,2018,,
2018-09-24,104,8700.0,9.4,1740.3850674854446,9,2018,,
2018-09-25,106,9228.0,8.6,1845.9845389706973,9,2018,,
2018-09-26,104,8364.0,12.1,1673.1854038130105,9,2018,,
2018-09-27,106,7800.0,17.8,1560.385968362854,9,2018,,
2018-09-28,114,7278.0,12.2,1455.9864908717514,9,2018,,
2018-09-29,100,7224.0,8.8,1445.1865449243958,9,2018,,
2018-09-30,102,7734.0,10.5,1547.1860344271972,9,2018,,
2018-10-01,100,9456.0,8.2,1891.5843107484204,10,2018,93.51612903225806,8327.225806451614
2018-10-02,89,9036.0,7.8,1807.5847311578784,10,2018,,
2018-10-03,94,8592.0,10.9,1718.7851755907336,10,2018,,
2018-10-04,93,10188.0,11.2,2037.983578034794,10,2018,,
2018-10-05,92,8964.0,15.1,1793.184803228071,10,2018,,
2018-10-06,77,7764.0,16.0,1553.1860043979502,10,2018,,
2018-10-07,85,7518.0,11.0,1503.9862506377756,10,2018,,
2018-10-08,93,9990.0,9.1,1998.383776227824,10,2018,,
2018-10-09,97,9870.0,12.0,1974.383896344812,10,2018,,
2018-10-10,97,7896.0,16.0,1579.5858722692635,10,2018,,
2018-10-11,103,7302.0,18.0,1460.7864668483535,10,2018,,
2018-10-12,106,7506.0,17.7,1501.5862626494745,10,2018,,
2018-10-13,93,9318.0,18.0,1863.9844488829565,10,2018,,
2018-10-14,99,8124.0,17.8,1625.1856440469865,10,2018,,
2018-10-15,102,7194.0,16.4,1439.1865749536428,10,2018,,
