date,n_sick,calls,temp,drivers_predicted,month,year,n_sick_monthly,calls_monthly
2018-10-15,102,7194.0,16.4,1439.1865749536428,10,2018,,
2018-10-16,97,9300.0,14.1,1860.3844669005048,10,2018,,
2018-10-17,97,9834.0,12.9,1967.1839323799084,10,2018,,
2018-10-18,100,8874.0,11.0,1775.1848933158121,10,2018,,
2018-10-19,109,6852.0,9.0,1370.7869172870585,10,2018,,
2018-10-20,98,6816.0,8.1,1363.5869533221546,10,2018,,
2018-10-21,103,8832.0,8.8,1766.7849353567576,10,2018,,
2018-10-22,102,7968.0,8.2,1593.9858001990708,10,2018,,
2018-10-23,98,9468.0,8.7,1893.9842987367213,10,2018,,
2018-10-24,90,7074.0,9.4,1415.1866950706308,10,2018,,
2018-10-25,78,7512.0,11.2,1502.786256643625,10,2018,,
2018-10-26,81,7092.0,10.3,1418.786677053083,10,2018,,
2018-10-27,79,8766.0,7.6,1753.585001421101,10,2018,,
2018-10-28,87,7710.0,5.9,1542.3860584505949,10,2018,,
2018-10-29,93,7662.0,4.8,1532.7861064973902,10,2018,,
2018-10-30,82,7164.0,13.3,1433.1866049828898,10,2018,,
2018-10-31,85,8502.0,9.4,1700.7852656784744,10,2018,,
2018-11-01,77,9174.0,8.7,1835.184593023342,11,2018,71.6,8028.0
2018-11-02,75,10140.0,8.8,2028.3836260815888,11,2018,,
2018-11-03,70,7806.0,7.5,1561.5859623570043,11,2018,,
2018-11-04,72,9168.0,9.2,1833.9845990291915,11,2018,,
2018-11-05,75,7752.0,11.9,1550.786016409649,11,2018,,
2018-11-06,62,9132.0,12.6,1826.784635064288,11,2018,,
2018-11-07,57,7638.0,10.8,1527.9861305207874,11,2018,,
2018-11-08,58,7188.0,8.3,1437.9865809594926,11,2018,,
2018-11-09,66,7722.0,8.7,1544.786046438896,11,2018,,
2018-11-10,60,9150.0,9.0,1830.3846170467395,11,2018,,
2018-11-11,67,8880.0,9.1,1776.3848873099626,11,2018,,
2018-11-12,75,7614.0,11.8,1523.1861545441848,11,2018,,
2018-11-13,63,8322.0,10.2,1664.7854458539566,11,2018,,
2018-11-14,61,7614.0,7.6,1523.1861545441848,11,2018,,
2018-11-15,66,7146.0,7.6,1429.5866230004378,11,2018,,
