date,n_sick,calls,temp,drivers_predicted,month,year,n_sick_monthly,calls_monthly
2019-01-15,71,7152.0,3.9,1430.7866169945887,1,2019,,
2019-01-16,72,9240.0,6.3,1848.3845269589983,1,2019,,
2019-01-17,75,7332.0,4.6,1466.7864368191067,1,2019,,
2019-01-18,71,7254.0,0.4,1451.186514895149,1,2019,,
2019-01-19,58,8166.0,0.3,1633.5856020060407,1,2019,,
2019-01-20,70,7440.0,-2.7,1488.3863287138174,1,2019,,
2019-01-21,72,8430.0,-3.2,1686.385337748667,1,2019,,
2019-01-22,72,8196.0,-2.6,1639.5855719767935,1,2019,,
2019-01-23,72,8850.0,-5.4,1770.3849173392093,1,2019,,
2019-01-24,73,6258.0,-3.8,1251.9875118661487,1,2019,,
2019-01-25,71,7284.0,-3.7,1457.186484865902,1,2019,,
2019-01-26,69,5760.0,0.8,1152.3880103516487,1,2019,,
2019-01-27,70,7512.0,4.4,1502.786256643625,1,2019,,
2019-01-28,80,8994.0,3.3,1799.184773198824,1,2019,,
2019-01-29,74,8532.0,1.2,1706.7852356492276,1,2019,,
2019-01-30,76,6354.0,0.3,1271.1874157725586,1,2019,,
2019-01-31,85,6276.0,1.0,1255.5874938486004,1,2019,,
2019-02-01,75,8292.0,-0.1,1658.7854758832034,2,2019,64.82142857142857,8211.214285714286
2019-02-02,56,7512.0,0.5,1502.786256643625,2,2019,,
2019-02-03,51,9012.0,1.0,1802.7847551812758,2,2019,,
2019-02-04,58,10710.0,0.9,2142.3830555258965,2,2019,,
2019-02-05,49,9204.0,2.3,1841.184562994095,2,2019,,
2019-02-06,57,8994.0,3.6,1799.184773198824,2,2019,,
2019-02-07,61,9984.0,3.1,1997.1837822336734,2,2019,,
2019-02-08,54,8226.0,5.7,1645.5855419475467,2,2019,,
2019-02-09,49,6924.0,7.8,1385.1868452168658,2,2019,,
2019-02-10,51,7566.0,6.7,1513.5862025909805,2,2019,,
2019-02-11,55,7656.0,4.4,1531.586112503239,2,2019,,
2019-02-12,57,8508.0,2.9,1701.985259672625,2,2019,,
2019-02-13,62,7302.0,6.1,1460.7864668483535,2,2019,,
2019-02-14,55,7086.0,6.7,1417.5866830589318,2,2019,,
2019-02-15,64,7002.0,5.7,1400.7867671408233,2,2019,,
