date,n_sick,calls,temp,drivers_predicted,month,year,n_sick_monthly,calls_monthly
2018-04-15,65,7782.0,15.1,1556.785986380402,4,2018,,
2018-04-16,60,8160.0,11.8,1632.3856080118899,4,2018,,
2018-04-17,56,10068.0,13.1,2013.983698151782,4,2018,,
2018-04-18,64,8352.0,16.4,1670.7854158247094,4,2018,,
2018-04-19,64,7080.0,17.9,1416.3866890647814,4,2018,,
2018-04-20,61,9534.0,20.3,1907.184232672378,4,2018,,
2018-04-21,57,9288.0,16.7,1857.9844789122033,4,2018,,
2018-04-22,58,8760.0,17.3,1752.3850074269503,4,2018,,
2018-04-23,57,8136.0,17.3,1627.5856320352875,4,2018,,
2018-04-24,52,8412.0,12.7,1682.7853557662156,4,2018,,
2018-04-25,55,9174.0,12.6,1835.184593023342,4,2018,,
2018-04-26,58,9522.0,8.8,1904.784244684077,4,2018,,
2018-04-27,55,8220.0,11.4,1644.385547953396,4,2018,,
2018-04-28,54,8178.0,15.5,1635.9855899943418,4,2018,,
2018-04-29,55,8412.0,18.0,1682.7853557662156,4,2018,,
2018-04-30,60,9504.0,17.1,1901.1842627016247,4,2018,,
2018-05-01,65,9714.0,12.6,1943.1840524968964,5,2018,70.74193548387096,8597.612903225807
2018-05-02,74,8880.0,11.1,1776.3848873099626,5,2018,,
2018-05-03,78,8652.0,13.9,1730.7851155322394,5,2018,,
2018-05-04,76,9078.0,12.3,1815.9846891169325,5,2018,,
2018-05-05,71,9642.0,13.6,1928.7841245670888,5,2018,,
2018-05-06,72,9882.0,16.0,1976.783884333113,5,2018,,
2018-05-07,70,10320.0,18.3,2064.3834459061068,5,2018,,
2018-05-08,55,9078.0,19.7,1815.9846891169325,5,2018,,
2018-05-09,53,8358.0,20.8,1671.9854098188598,5,2018,,
2018-05-10,53,8562.0,20.6,1712.7852056199804,5,2018,,
2018-05-11,55,8268.0,13.9,1653.9854999066006,5,2018,,
2018-05-12,49,9432.0,17.1,1886.7843347718176,5,2018,,
2018-05-13,56,8190.0,20.7,1638.385577982643,5,2018,,
2018-05-14,63,8244.0,19.6,1649.1855239299985,5,2018,,
2018-05-15,63,7992.0,15.6,1598.7857761756732,5,2018,,
